USPS_code,Name,FIPS_code,ICPSR_code,D2016,R2016,EV2016,white2012,black2012,asian2012,D2012,R2012
AL,Alabama,01,41,0.344,0.621,9,0.704,0.263,0.012,0.384,0.606
AK,Alaska,02,81,0.366,0.513,3,0.681,0.034,0.055,0.408,0.548
AZ,Arizona,04,61,0.451,0.487,11,0.848,0.044,0.029,0.446,0.537
AR,Arkansas,05,42,0.337,0.606,6,0.803,0.156,0.013,0.369,0.606
CA,California,06,71,0.617,0.316,55,0.742,0.067,0.135,0.602,0.371
CO,Colorado,08,62,0.482,0.433,9,0.885,0.043,0.029,0.515,0.461
CT,Connecticut,09,01,0.546,0.409,7,0.826,0.110,0.039,0.581,0.407
DE,Delaware,10,11,0.534,0.419,3,0.719,0.219,0.033,0.586,0.400
DC,District of Columbia,11,55,0.909,0.041,3,0.418,0.516,0.036,0.909,0.073
FL,Florida,12,43,0.478,0.490,29,0.788,0.164,0.025,0.500,0.491
GA,Georgia,13,44,0.459,0.510,16,0.634,0.309,0.033,0.455,0.533
HI,Hawaii,15,82,0.622,0.300,4,0.257,0.017,0.391,0.706,0.278
ID,Idaho,16,63,0.275,0.593,4,0.942,0.007,0.013,0.326,0.645
IL,Illinois,17,21,0.558,0.388,20,0.782,0.148,0.047,0.576,0.407
IN,Indiana,18,22,0.378,0.569,11,0.870,0.093,0.016,0.439,0.541
IA,Iowa,19,31,0.417,0.511,6,0.932,0.030,0.018,0.520,0.462
KS,Kansas,20,32,0.361,0.567,6,0.877,0.061,0.024,0.380,0.597
KY,Kentucky,21,51,0.327,0.625,8,0.890,0.079,0.012,0.378,0.605
LA,Louisiana,22,45,0.384,0.581,8,0.640,0.323,0.016,0.406,0.578
ME,Maine,23,02,0.478,0.449,2,0.956,0.012,0.010,0.563,0.410
MD,Maryland,24,52,0.603,0.339,10,0.613,0.300,0.057,0.620,0.359
MA,Massachusetts,25,03,0.600,0.328,11,0.844,0.077,0.055,0.607,0.375
MI,Michigan,26,23,0.473,0.475,16,0.804,0.143,0.025,0.542,0.447
MN,Minnesota,27,33,0.464,0.449,10,0.872,0.053,0.041,0.527,0.450
MS,Mississippi,28,46,0.401,0.579,6,0.603,0.372,0.009,0.438,0.553
MO,Missouri,29,34,0.381,0.568,10,0.841,0.117,0.017,0.444,0.538
MT,Montana,30,64,0.359,0.565,3,0.901,0.004,0.006,0.417,0.554
NE,Nebraska,31,35,0.337,0.587,2,0.903,0.047,0.018,0.380,0.598
NV,Nevada,32,65,0.479,0.455,6,0.780,0.086,0.075,0.524,0.457
NH,New Hampshire,33,04,0.468,0.465,4,0.948,0.012,0.022,0.520,0.464
NJ,New Jersey,34,12,0.555,0.414,14,0.745,0.146,0.085,0.584,0.406
NM,New Mexico,35,66,0.483,0.400,5,0.836,0.024,0.015,0.530,0.428
NY,New York,36,13,0.590,0.365,29,0.717,0.174,0.076,0.634,0.352
NC,North Carolina,37,47,0.462,0.498,15,0.723,0.219,0.023,0.484,0.504
ND,North Dakota,38,36,0.272,0.630,3,0.906,0.012,0.010,0.387,0.583
OH,Ohio,39,24,0.436,0.517,18,0.838,0.124,0.017,0.507,0.477
OK,Oklahoma,40,53,0.289,0.653,7,0.760,0.076,0.018,0.332,0.668
OR,Oregon,41,72,0.501,0.391,7,0.888,0.019,0.038,0.542,0.422
PA,Pennsylvania,42,14,0.479,0.486,20,0.840,0.113,0.028,0.520,0.466
RI,Rhode Island,44,05,0.544,0.389,4,0.865,0.071,0.030,0.627,0.352
SC,South Carolina,45,48,0.407,0.549,9,0.684,0.282,0.013,0.441,0.546
SD,South Dakota,46,37,0.317,0.615,3,0.868,0.013,0.010,0.399,0.579
TN,Tennessee,47,54,0.347,0.607,11,0.797,0.168,0.015,0.391,0.595
TX,Texas,48,49,0.432,0.522,38,0.811,0.122,0.040,0.414,0.572
UT,Utah,49,67,0.275,0.455,6,0.922,0.012,0.021,0.248,0.728
VT,Vermont,50,06,0.567,0.303,3,0.957,0.010,0.013,0.666,0.310
VA,Virginia,51,40,0.498,0.444,13,0.716,0.197,0.056,0.512,0.473
WA,Washington,53,73,0.543,0.381,12,0.823,0.038,0.073,0.562,0.413
WV,West Virginia,54,56,0.265,0.686,5,0.943,0.034,0.007,0.355,0.623
WI,Wisconsin,55,25,0.465,0.472,10,0.886,0.065,0.023,0.528,0.459
WY,Wyoming,56,68,0.219,0.682,3,0.939,0.009,0.008,0.278,0.686
